12:28:29 -> lat:40.2328833, lon:29.0090402, alt:2.54, spd:0.110, btr:40, hea:263, mod:GUIDED, arm:Armed
12:28:29 -> lat:40.232883, lon:29.0090401, alt:2.51, spd:0.100, btr:40, hea:264, mod:GUIDED, arm:Armed
12:28:30 -> lat:40.232883, lon:29.0090401, alt:2.51, spd:0.080, btr:40, hea:266, mod:GUIDED, arm:Armed
12:28:30 -> lat:40.2328828, lon:29.00904, alt:2.58, spd:0.050, btr:40, hea:267, mod:GUIDED, arm:Armed
12:28:31 -> lat:40.2328828, lon:29.00904, alt:2.58, spd:0.030, btr:40, hea:269, mod:GUIDED, arm:Armed
12:28:31 -> lat:40.2328828, lon:29.00904, alt:2.65, spd:0.030, btr:40, hea:272, mod:GUIDED, arm:Armed
12:28:32 -> lat:40.2328828, lon:29.00904, alt:2.71, spd:0.030, btr:40, hea:273, mod:GUIDED, arm:Armed
12:28:32 -> lat:40.2328827, lon:29.00904, alt:2.76, spd:0.040, btr:40, hea:276, mod:GUIDED, arm:Armed
12:28:33 -> lat:40.2328827, lon:29.00904, alt:2.76, spd:0.040, btr:40, hea:278, mod:GUIDED, arm:Armed
12:28:33 -> lat:40.2328826, lon:29.00904, alt:2.82, spd:0.040, btr:40, hea:281, mod:GUIDED, arm:Armed
12:28:34 -> lat:40.2328825, lon:29.00904, alt:2.87, spd:0.040, btr:40, hea:284, mod:GUIDED, arm:Armed
12:28:34 -> lat:40.2328824, lon:29.0090399, alt:2.92, spd:0.040, btr:40, hea:285, mod:GUIDED, arm:Armed
12:28:35 -> lat:40.2328824, lon:29.0090399, alt:2.95, spd:0.030, btr:39, hea:288, mod:GUIDED, arm:Armed
12:28:35 -> lat:40.2328824, lon:29.0090399, alt:2.94, spd:0.020, btr:39, hea:290, mod:GUIDED, arm:Armed
12:28:36 -> lat:40.2328822, lon:29.0090399, alt:2.93, spd:0.030, btr:39, hea:289, mod:GUIDED, arm:Armed
12:28:36 -> lat:40.2328821, lon:29.0090399, alt:2.93, spd:0.010, btr:39, hea:289, mod:GUIDED, arm:Armed
12:28:37 -> lat:40.2328822, lon:29.0090399, alt:2.92, spd:0.020, btr:39, hea:290, mod:GUIDED, arm:Armed
12:28:37 -> lat:40.2328822, lon:29.00904, alt:2.92, spd:0.030, btr:39, hea:290, mod:GUIDED, arm:Armed
12:28:38 -> lat:40.2328823, lon:29.00904, alt:2.92, spd:0.030, btr:39, hea:289, mod:GUIDED, arm:Armed
12:28:38 -> lat:40.2328824, lon:29.0090401, alt:2.91, spd:0.030, btr:39, hea:289, mod:GUIDED, arm:Armed
12:28:39 -> lat:40.2328824, lon:29.0090402, alt:2.94, spd:0.030, btr:39, hea:290, mod:GUIDED, arm:Armed
12:28:39 -> lat:40.2328826, lon:29.0090401, alt:3.0, spd:0.040, btr:38, hea:291, mod:GUIDED, arm:Armed
12:28:40 -> lat:40.2328826, lon:29.0090401, alt:3.0, spd:0.050, btr:38, hea:294, mod:GUIDED, arm:Armed
12:28:40 -> lat:40.2328829, lon:29.0090401, alt:3.1, spd:0.030, btr:38, hea:297, mod:GUIDED, arm:Armed
12:28:41 -> lat:40.2328829, lon:29.0090401, alt:3.15, spd:0.010, btr:38, hea:297, mod:GUIDED, arm:Armed
12:28:41 -> lat:40.2328829, lon:29.0090402, alt:3.2, spd:0.010, btr:38, hea:297, mod:GUIDED, arm:Armed
12:28:42 -> lat:40.232883, lon:29.0090402, alt:3.25, spd:0.020, btr:38, hea:300, mod:GUIDED, arm:Armed
12:28:42 -> lat:40.232883, lon:29.0090401, alt:3.25, spd:0.010, btr:38, hea:303, mod:GUIDED, arm:Armed
12:28:43 -> lat:40.232883, lon:29.0090401, alt:3.17, spd:0.000, btr:38, hea:303, mod:GUIDED, arm:Armed
12:28:43 -> lat:40.232883, lon:29.0090401, alt:3.11, spd:0.000, btr:38, hea:302, mod:GUIDED, arm:Armed
12:28:44 -> lat:40.2328831, lon:29.0090401, alt:3.05, spd:0.000, btr:37, hea:302, mod:GUIDED, arm:Armed
12:28:44 -> lat:40.232883, lon:29.0090402, alt:2.94, spd:0.000, btr:37, hea:303, mod:GUIDED, arm:Armed
12:28:45 -> lat:40.232883, lon:29.0090401, alt:2.91, spd:0.010, btr:37, hea:302, mod:GUIDED, arm:Armed
12:28:45 -> lat:40.232883, lon:29.00904, alt:2.92, spd:0.010, btr:37, hea:297, mod:GUIDED, arm:Armed
12:28:46 -> lat:40.2328828, lon:29.0090402, alt:2.92, spd:0.160, btr:37, hea:271, mod:GUIDED, arm:Armed
12:28:46 -> lat:40.2328813, lon:29.0090413, alt:2.93, spd:0.700, btr:37, hea:252, mod:GUIDED, arm:Armed
12:28:47 -> lat:40.2328731, lon:29.009047, alt:2.93, spd:1.170, btr:37, hea:223, mod:GUIDED, arm:Armed
12:28:47 -> lat:40.232867, lon:29.0090507, alt:2.94, spd:1.520, btr:36, hea:204, mod:GUIDED, arm:Armed
12:28:48 -> lat:40.2328596, lon:29.009055, alt:2.94, spd:1.850, btr:36, hea:175, mod:GUIDED, arm:Armed
12:28:48 -> lat:40.2328515, lon:29.0090597, alt:2.95, spd:2.050, btr:36, hea:156, mod:GUIDED, arm:Armed
12:28:49 -> lat:40.2328427, lon:29.0090646, alt:2.95, spd:2.210, btr:36, hea:156, mod:GUIDED, arm:Armed
12:28:49 -> lat:40.232823, lon:29.0090736, alt:2.96, spd:2.370, btr:36, hea:158, mod:GUIDED, arm:Armed
12:28:50 -> lat:40.2328131, lon:29.0090782, alt:2.97, spd:2.320, btr:36, hea:156, mod:GUIDED, arm:Armed
12:28:50 -> lat:40.2328043, lon:29.0090826, alt:2.98, spd:2.020, btr:36, hea:157, mod:GUIDED, arm:Armed
12:28:51 -> lat:40.232797, lon:29.0090864, alt:2.98, spd:1.580, btr:36, hea:157, mod:GUIDED, arm:Armed
12:28:51 -> lat:40.2327912, lon:29.0090895, alt:2.99, spd:1.130, btr:36, hea:157, mod:GUIDED, arm:Armed
12:28:52 -> lat:40.232787, lon:29.0090916, alt:2.99, spd:0.810, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:52 -> lat:40.2327825, lon:29.0090939, alt:2.99, spd:0.440, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:53 -> lat:40.2327812, lon:29.0090946, alt:2.99, spd:0.360, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:53 -> lat:40.2327802, lon:29.0090951, alt:3.0, spd:0.200, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:54 -> lat:40.2327798, lon:29.0090955, alt:3.0, spd:0.120, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:54 -> lat:40.2327797, lon:29.0090956, alt:3.0, spd:0.030, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:55 -> lat:40.2327798, lon:29.0090956, alt:3.0, spd:0.040, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:55 -> lat:40.2327801, lon:29.0090954, alt:3.0, spd:0.100, btr:35, hea:157, mod:GUIDED, arm:Armed
12:28:56 -> lat:40.232781, lon:29.0090953, alt:3.0, spd:0.120, btr:34, hea:157, mod:GUIDED, arm:Armed
12:28:56 -> lat:40.2327815, lon:29.0090953, alt:3.0, spd:0.130, btr:34, hea:157, mod:GUIDED, arm:Armed
12:28:57 -> lat:40.232782, lon:29.0090954, alt:3.0, spd:0.140, btr:34, hea:157, mod:GUIDED, arm:Armed
12:28:57 -> lat:40.2327825, lon:29.0090954, alt:3.0, spd:0.120, btr:34, hea:159, mod:GUIDED, arm:Armed
12:28:58 -> lat:40.2327829, lon:29.0090951, alt:3.0, spd:0.110, btr:34, hea:173, mod:GUIDED, arm:Armed
12:28:58 -> lat:40.2327834, lon:29.0090932, alt:3.0, spd:0.450, btr:34, hea:201, mod:GUIDED, arm:Armed
12:28:59 -> lat:40.2327841, lon:29.0090883, alt:3.0, spd:1.020, btr:34, hea:219, mod:GUIDED, arm:Armed
12:28:59 -> lat:40.2327848, lon:29.0090812, alt:3.0, spd:1.270, btr:34, hea:239, mod:GUIDED, arm:Armed
12:29:00 -> lat:40.2327852, lon:29.009073, alt:3.01, spd:1.370, btr:33, hea:258, mod:GUIDED, arm:Armed
12:29:00 -> lat:40.2327854, lon:29.0090653, alt:3.01, spd:1.210, btr:33, hea:273, mod:GUIDED, arm:Armed
12:29:01 -> lat:40.2327852, lon:29.0090596, alt:3.01, spd:0.940, btr:33, hea:271, mod:GUIDED, arm:Armed
12:29:01 -> lat:40.2327847, lon:29.0090559, alt:3.01, spd:0.490, btr:33, hea:269, mod:GUIDED, arm:Armed
12:29:02 -> lat:40.2327842, lon:29.0090535, alt:3.01, spd:0.420, btr:33, hea:270, mod:GUIDED, arm:Armed
12:29:02 -> lat:40.232784, lon:29.0090513, alt:3.01, spd:0.390, btr:33, hea:270, mod:GUIDED, arm:Armed
12:29:03 -> lat:40.2327838, lon:29.0090493, alt:3.01, spd:0.350, btr:33, hea:270, mod:GUIDED, arm:Armed
12:29:03 -> lat:40.2327835, lon:29.0090465, alt:3.01, spd:0.250, btr:33, hea:270, mod:GUIDED, arm:Armed
12:29:04 -> lat:40.2327834, lon:29.0090458, alt:3.01, spd:0.190, btr:33, hea:270, mod:GUIDED, arm:Armed
12:29:04 -> lat:40.2327833, lon:29.0090454, alt:3.01, spd:0.110, btr:32, hea:271, mod:GUIDED, arm:Armed
12:29:05 -> lat:40.2327832, lon:29.0090451, alt:3.01, spd:0.090, btr:32, hea:271, mod:GUIDED, arm:Armed
12:29:05 -> lat:40.2327832, lon:29.0090449, alt:3.01, spd:0.070, btr:32, hea:271, mod:GUIDED, arm:Armed
